SNR_dB,QLearning_rho,QLearning_near_user_PEP,QLearning_far_user_PEP,DDPG_rho,DDPG_near_user_PEP,DDPG_far_user_PEP,Baseline_rho,Baseline_near_user_PEP,Baseline_far_user_PEP
0.0,0.3500000000,0.4550367651,0.4553965444,0.4095075130,0.4548279268,0.4551764799,0.5000000000,0.4560791985,0.4563991845
2.0,0.3500000000,0.4208166095,0.4217975589,0.3912647665,0.4204908635,0.4214515913,0.5000000000,0.4227399880,0.4236129345
4.0,0.3500000000,0.3692574500,0.3716973198,0.3693563342,0.3690323411,0.3714485009,0.5000000000,0.3730362326,0.3752065603
6.0,0.3500000000,0.3009028757,0.3062364116,0.3443480432,0.3009567571,0.3063059886,0.5000000000,0.3079597859,0.3127199508
8.0,0.2500000000,0.2263947674,0.2367730493,0.3185900450,0.2228614533,0.2329388389,0.5000000000,0.2340438572,0.2430267487
10.0,0.2500000000,0.1479697599,0.1640496453,0.2933823168,0.1465832909,0.1623272171,0.5000000000,0.1615410846,0.1759136059
12.0,0.2500000000,0.0845758155,0.1049433676,0.2697148621,0.0843827781,0.1045662229,0.5000000000,0.1003865594,0.1198223738
14.0,0.2000000000,0.0430646243,0.0651271829,0.2476561368,0.0425325853,0.0640510245,0.5000000000,0.0561656085,0.0786372090
16.0,0.2000000000,0.0191196882,0.0391462507,0.2256789505,0.0191206934,0.0389585167,0.5000000000,0.0286039394,0.0514453850
18.0,0.2000000000,0.0078999035,0.0245989557,0.2031639069,0.0079084738,0.0245997649,0.5000000000,0.0135213660,0.0347577603
20.0,0.1500000000,0.0030958722,0.0167315181,0.1743569523,0.0031050296,0.0166378017,0.5000000000,0.0060665744,0.0248976084
22.0,0.1500000000,0.0011963604,0.0122023670,0.1492945850,0.0011959415,0.0122025425,0.5000000000,0.0026362348,0.0191280238
24.0,0.1500000000,0.0004712040,0.0097037765,0.1286715716,0.0004625830,0.0096642483,0.5000000000,0.0011281783,0.0157276441
26.0,0.1500000000,0.0001912487,0.0082808695,0.1069304794,0.0001821766,0.0081588495,0.5000000000,0.0004822417,0.0136952922
28.0,0.1000000000,0.0000750517,0.0072435512,0.0843507499,0.0000741342,0.0072338248,0.5000000000,0.0002087014,0.0124628661
30.0,0.1000000000,0.0000328222,0.0066974614,0.0638724118,0.0000317399,0.0066495962,0.5000000000,0.0000928000,0.0117064235
32.0,0.1000000000,0.0000153537,0.0063668371,0.0547640026,0.0000145831,0.0062563785,0.5000000000,0.0000431225,0.0112379098
34.0,0.0500000000,0.0000073085,0.0059940803,0.0514608324,0.0000073162,0.0059952246,0.5000000000,0.0000213440,0.0109458793
36.0,0.0500000000,0.0000040672,0.0058284387,0.0504423976,0.0000040690,0.0058295004,0.5000000000,0.0000114702,0.0107630706
38.0,0.0500000000,0.0000025265,0.0057257943,0.0501434468,0.0000025269,0.0057262865,0.5000000000,0.0000067951,0.0106483099
40.0,0.0500000000,0.0000017483,0.0056618108,0.0500550605,0.0000017484,0.0056620351,0.5000000000,0.0000044682,0.0105761352
