SNR_dB,rho,PEP_near,PEP_far,T_near,T_far,T_sum,P_B,P_C,EE
5.0,0.0500000000,0.4060858800,0.4087317894,0.2969570600,0.1478170526,0.4447741127,3.1622776602,0.2000000000,0.1322835761
5.0,0.0545226131,0.4026506305,0.4053803283,0.2986746848,0.1486549179,0.4473296027,3.1622776602,0.2000000000,0.1330436234
5.0,0.0590452261,0.3994308321,0.4022376769,0.3002845840,0.1494405808,0.4497251648,3.1622776602,0.2000000000,0.1337561053
5.0,0.0635678392,0.3964031944,0.3992812903,0.3017984028,0.1501796774,0.4519780802,3.1622776602,0.2000000000,0.1344261616
5.0,0.0680904523,0.3935483696,0.3964924416,0.3032258152,0.1508768896,0.4541027048,3.1622776602,0.2000000000,0.1350580620
5.0,0.0726130653,0.3908500672,0.3938553637,0.3045749664,0.1515361591,0.4561111255,3.1622776602,0.2000000000,0.1356554014
5.0,0.0771356784,0.3882944115,0.3913566272,0.3058527942,0.1521608432,0.4580136374,3.1622776602,0.2000000000,0.1362212416
5.0,0.0816582915,0.3858694632,0.3889846772,0.3070652684,0.1527538307,0.4598190991,3.1622776602,0.2000000000,0.1367582174
5.0,0.0861809045,0.3835648581,0.3867294833,0.3082175710,0.1533176292,0.4615352002,3.1622776602,0.2000000000,0.1372686157
5.0,0.0907035176,0.3813715285,0.3845822699,0.3093142357,0.1538544325,0.4631686683,3.1622776602,0.2000000000,0.1377544376
5.0,0.0952261307,0.3792814857,0.3825353053,0.3103592571,0.1543661737,0.4647254308,3.1622776602,0.2000000000,0.1382174460
5.0,0.0997487437,0.3772876471,0.3805817350,0.3113561764,0.1548545663,0.4662107427,3.1622776602,0.2000000000,0.1386592036
5.0,0.1042713568,0.3753836984,0.3787154474,0.3123081508,0.1553211381,0.4676292889,3.1622776602,0.2000000000,0.1390811040
5.0,0.1087939698,0.3735639813,0.3769309661,0.3132180094,0.1557672585,0.4689852678,3.1622776602,0.2000000000,0.1394843958
5.0,0.1133165829,0.3718234018,0.3752233602,0.3140882991,0.1561941599,0.4702824591,3.1622776602,0.2000000000,0.1398702031
5.0,0.1178391960,0.3701573546,0.3735881722,0.3149213227,0.1566029570,0.4715242797,3.1622776602,0.2000000000,0.1402395422
5.0,0.1223618090,0.3685616602,0.3720213558,0.3157191699,0.1569946611,0.4727138309,3.1622776602,0.2000000000,0.1405933354
5.0,0.1268844221,0.3670325119,0.3705192257,0.3164837441,0.1573701936,0.4738539376,3.1622776602,0.2000000000,0.1409324231
5.0,0.1314070352,0.3655664309,0.3690784141,0.3172167845,0.1577303965,0.4749471810,3.1622776602,0.2000000000,0.1412575727
5.0,0.1359296482,0.3641602290,0.3676958337,0.3179198855,0.1580760416,0.4759959271,3.1622776602,0.2000000000,0.1415694881
5.0,0.1404522613,0.3628109755,0.3663686468,0.3185945122,0.1584078383,0.4770023505,3.1622776602,0.2000000000,0.1418688159
5.0,0.1449748744,0.3615159698,0.3650942380,0.3192420151,0.1587264405,0.4779684556,3.1622776602,0.2000000000,0.1421561524
5.0,0.1494974874,0.3602727170,0.3638701911,0.3198636415,0.1590324522,0.4788960938,3.1622776602,0.2000000000,0.1424320482
5.0,0.1540201005,0.3590789070,0.3626942686,0.3204605465,0.1593264328,0.4797869793,3.1622776602,0.2000000000,0.1426970131
5.0,0.1585427136,0.3579323966,0.3615643945,0.3210338017,0.1596089014,0.4806427031,3.1622776602,0.2000000000,0.1429515203
5.0,0.1630653266,0.3568311931,0.3604786382,0.3215844034,0.1598803405,0.4814647439,3.1622776602,0.2000000000,0.1431960095
5.0,0.1675879397,0.3557734404,0.3594352015,0.3221132798,0.1601411996,0.4822544794,3.1622776602,0.2000000000,0.1434308906
5.0,0.1721105528,0.3547574068,0.3584324065,0.3226212966,0.1603918984,0.4830131950,3.1622776602,0.2000000000,0.1436565459
5.0,0.1766331658,0.3537814735,0.3574686845,0.3231092632,0.1606328289,0.4837420921,3.1622776602,0.2000000000,0.1438733326
